name,birth_date,death_date
Lonnie Szoke,1978-02-09,None
Arvin Brown,1940-05-24,None
Erin O Brien,1934-01-17,None
Heather Corinna,1970-04-18,None
QI Hui,1985-01-13,None
Nobuyuki Kobushi,1974-09-08,None
Wayne Turner,1976-03-22,None
Dudley Mason,1901-10-07,1987-04-26
Nushawn Williams,1976-11-01,None
Mitch Longley,1965-06-23,None
Yanou,1974-03-06,None
Aki Takase,1948-01-26,None
Bill Cullen (businessman),1942-02-17,None
Benjamin Borenstein,1928-11-05,2006-09-07
Sarfraz Manzoor Nastaliq سرفراز منظور,1971-06-09,None
Marcel Heller,1986-02-12,None
Bobby Ferguson,1945-03-01,None
Dame Margaret Lloyd George,1864-11-04,1941-01-20
Robert Rayford,1953-02-03,1969-05-15
Tom Smith,1944-09-08,None
Helen Modern,1983-02-16,None
Martin Whitmarsh,1958-04-29,None
Danny Bacon,1980-09-20,None
Stanley Kamel,1943-01-01,2008-04-08
Clifton Reginald Wharton Jr,1926-09-13,None
Fernando Álvez,1959-09-04,None
Jákup Dahl,1878-06-05,1944-06-05
Zézéto,1981-06-17,None
Alice Tegnér,1864-03-12,1943-05-26
Wilmar Cabrera,1959-07-31,None
Víctor Diogo,1958-04-09,None
Clifton Reginald Wharton Sr.,1899-05-11,1990-04-25
Henri Owen Tudor,1859-09-30,1928-05-31
Katharine Furse,1875-11-23,1952-11-25
Pat Holland,1950-09-13,None
Nejdet Sançar,1910-05-01,1975-02-22
Andy Groom,1979-09-10,None
Sem-Yeto,1798-11-09,None
Julius Hegyi,1923-02-02,2007-01-01
Daniel McCartney,1817-09-10,1887-11-15
Richard Cawley,1947-05-28,None
Shoko Nakagawa,1985-05-05,None
Hans Zender,1936-11-22,2019-10-22
Steve Spangler,1966-12-08,None
Archduke Anton,1901-03-20,1987-10-22
Brent David Fraser,1967-02-21,None
Brima Koroma,1984-07-08,None
Stuart Keith,1931-09-04,2003-02-13
Jared Clauss,1981-04-07,None
Nikki Haley,1972-01-20,None
John McDowell,1951-09-07,None
Casey Cramer,1982-01-05,None
Felix Jones,1987-05-08,None
Libertina Amathila,1940-12-10,None
Gypsy Joe,1933-12-02,2016-06-15
Amol Muzumdar,1974-11-11,None
Shirley Hughes,1927-07-16,None
Karl Ernst,1904-09-01,1934-06-30
Fernand Bonnier de La Chapelle,1922-11-04,1942-12-26
James Buchan,1881-04-19,None
Jack Wemp,1925-11-29,2005-11-13
Albert Cadwell,1900-11-01,1944-07-13
Eddie Griffiths,1891-11-09,1980-11-01
Michael Brennan,1912-09-25,1982-06-29
José Ignacio Pavón,1791-11-09,1866-05-24
Duchess Marie of Mecklenburg-Schwerin,1854-05-14,1920-09-06
Grand Duchess Maria Pavlovna,1890-04-18,1958-12-13
Sammee Tong,1901-04-21,1964-10-27
Anthony Maddox,1978-11-22,None
Friedrich Wilhelm I,1562-04-25,1602-07-07
Jerry Ekandjo,1947-03-17,None
Joe Cockroft,1911-06-20,None
Jamelle Holieway,1967-06-25,None
Jani Allan,1952-09-11,None
Jean David Levitte,1946-06-14,None
Dan Naturman,1969-10-20,None
W Allen Wallis,1912-11-05,1998-10-12
Vital Kamerhe,1959-03-04,None
Jason Arnberger,1972-11-18,None
Rt Rev Richard Phelan,1828-01-01,1904-12-20
Steve Smith,1964-08-30,None
Herman Baltia,1863-09-01,1938-09-16
Edward Beecher D D,1803-08-27,1895-07-28
Kikuko Kawakami,1904-02-09,1985-10-26
Alan Dickens,1964-09-03,None
Janey Gohl,1956-08-18,None
Chris Brancato,1962-07-24,None
Gus Kuhn,1898-10-17,1966-08-30
Danny Walsh,1893-11-09,1933-02-02
Masajirō Kojima,1894-01-31,1994-03-24
Sara Gruen,1969-11-09,None
Bill Holbert,1855-03-14,1935-03-20
Carl Scheib,1927-01-01,2018-03-24
Martín Siri,1979-04-20,None
Louis Wright,1891-07-23,1952-10-08
Robert Garcia,1975-01-29,None
Takanori Hatakeyama,1975-07-28,None
Eugénie Rocherolle,1936-11-09,None
Albin Ekdal,1989-07-28,None
B. Gerald Cantor,1916-12-17,1996-07-03
Alejandro Ferguson,1978-07-19,None
Fabian Francis,1973-10-24,None
Otep Shamaya,1979-11-07,None
Krzysztof Włodarczyk,1981-09-19,None
Sid Rainey,1968-11-09,None
Mickey Duffy,1888-11-09,None
Dorothy Edwards,1914-11-06,1982-08-09
Eve Gordon birth_date,1960-06-25,None
Bobby Wilson,1951-01-15,None
Bernardo Irigoyen,1969-09-03,None
Kebba Ceesay,1987-11-14,None
Tony Pape,1981-09-29,None
Bob Collins (politician),1946-02-08,2007-09-21
Helen Dukas,1896-10-17,1982-02-10
Kenneth H Wood,1917-11-05,2008-05-25
Martha McSally,1966-03-22,None
Diego Lord,1977-09-26,None
John Dunn,1910-08-24,1949-07-07
Orlando Trustfull,1970-08-04,None
Gavin Fingleson,1976-08-05,None
Javier Acuña,1988-06-23,None
Ronald Calderon,1957-08-12,None
Sun Xiang 孙祥,1982-01-15,None
Berthold Maria Schenk Graf von Stauffenberg,1934-07-03,None
Cheng Li-wun,1969-11-12,None
Billy MacDermott,1981-09-02,None
Bernard Addison,1905-04-15,1990-12-18
"Chen Tao (footballer, born 1985)",1985-03-11,None
Éber Moas,1969-03-21,None
Feng Xiaoting 冯潇霆,1985-10-22,None
Guillermo Sanguinetti,1966-06-21,None
Aed Carabao,1954-11-09,None
Tan Wangsong 谭望嵩,1985-12-19,None
Noreen Culhane,1950-09-08,None
John A Nejedly,1914-10-22,2006-09-19
Shane Deitz,1975-05-04,None
Azamat Ishenbayev,1978-06-19,None
Madeline DeFrees,1919-11-18,2015-11-11
Víctor López,1971-04-09,None
Róbert Siboldi,1965-09-24,None
Ruslan Sydykov,1975-01-04,None
Timur Kydyraliyev,1983-05-02,None
Pavel Matiash,1987-07-11,None
Andrés Fleurquin,1975-02-08,None
Daniel Sánchez,1961-05-03,None
Panuganti Lakshminarasimha Rao,1865-11-02,1940-01-01
Jason Murphy,1982-08-07,None
Malek Boutih,1964-10-27,None
Marcus Green (defensive tackle),1983-09-27,None
Ariel Montenegro,1975-11-03,None
Nevil Shed,1943-04-26,None
László Éger,1977-05-07,None
Nimma Raja Reddy,1937-03-09,2009-10-19
Gerard Denton,1975-08-07,None
Saprang Kalayanamitr,1948-07-08,None
Dene Hills,1970-08-27,None
Veijo Pasanen,1930-10-14,1988-02-17
Nikki Fuller,1968-01-23,None
Roberta Anastase,1976-03-27,None
Alexandru Athanasiu,1955-01-01,None
Benjamin West,1730-03-09,1813-08-26
Ebrima Ebou Sillah,1980-04-12,None
Ben West,1911-03-31,1974-11-20
Adam Dugdale,1987-09-12,None
Sally Eilers,1908-12-11,1978-01-05
George Washington in the American Revolution,1732-02-22,1799-12-14
Richard Culek,1974-04-01,None
Anthony Scaramozzino,1985-04-30,None
Masaomi Yasuoka,1886-07-21,1949-04-12
Jennifer Ward Lealand,1962-11-08,None
Vinny Arkins,1970-09-18,None
Brett Roneberg,1979-02-05,None
Zanzan Atte Oudeyi,1980-09-02,None
Kevaughn Connell,1986-07-23,None
Edward Moses Obeid,1943-10-25,None
"Rich Thompson (pitcher, born 1984)",1984-07-01,None
Angus Macdonald,1981-01-12,None
Claudio Pelosi,1966-05-29,None
Zoltán Pető,1974-09-19,None
Lorri Bagley,1973-08-05,None
"Euan Geddes, 3rd Baron Geddes",1937-09-03,None
Miguel Illescas,1965-12-03,None
Tan Singh,1924-01-25,None
Musa Selemani,1985-05-25,None
Ibrahim Ismail of Johor,1958-11-22,None
Raymond Forni,1941-05-20,2008-01-05
George Cisar (baseball),1910-08-25,2010-02-19
Frances Julia Stewart,1940-08-04,None
Rubaba Muradova,1933-03-21,1983-08-28
Ivan Gvozdenović,1978-08-19,None
Marshall Ulrich,1951-07-04,None
Pape Samba Ba,1982-03-01,None
Margaret Catley-Carlson,1942-10-06,None
Manasseh Ishiaku,1983-01-09,None
Timati,1983-08-15,None
Gus Winkler,1901-03-28,1933-10-09
Alexander Kuzemsky,1944-11-09,None
Eva Riccobono,1983-02-07,None
Antonio Casale,1932-05-17,2017-02-04
François Baroin,1965-06-21,None
Bertin Tomou,1978-08-08,None
Pat Flanagan,1889-09-20,1917-08-31
Marshall Soper,1960-05-12,None
Beppo Levi,1875-05-14,1961-08-28
Luis Induni,1920-03-05,1979-12-31
Greg Woodhouse,1960-01-02,None
Warren Spink,1966-10-04,None
Werner Daehn,1967-10-14,None
Aleksandr Iakovenko,1987-06-23,None
Walt Havenstein,1949-04-24,None
Eric Matoukou,1983-07-08,None
Siphiwe Tshabalala,1984-09-25,None
Daryl Beattie,1970-09-26,None
Charles Herbert Pierrepont2nd Earl Manvers,1778-08-11,1860-10-27
Dario Smoje,1978-09-19,None
Jimmy Zakazaka,1984-12-27,None
Manouchehr Atashi,1931-09-25,2005-11-20
Adrian Mihai Cioroianu,1967-01-05,None
Corina Crețu,1967-06-24,None
Vasile Dîncu,1961-11-25,None
Eduard Hellvig,1974-10-27,None
Danny Kennedy,1959-07-06,None
Mame Niang,1984-03-31,None
Titus Corlățean,1968-01-11,None
Đorđe Svetličić,1974-01-05,None
Sir Leighton Bracegirdle,1881-05-31,1970-03-23
Sverre Strandli,1925-11-30,1985-03-04
Ranjit Hoskote,1969-03-29,None
Davy Hyland,1955-02-25,None
Thomas Bezanson,1929-08-05,2007-08-16
Stephen Laybutt,1977-09-03,None
Michael Soutzos,1784-11-09,1864-06-12
Ōmi Komaki,1894-05-11,1978-10-29
Frank McErlane,1894-02-09,1932-10-08
Frank J. Wilson,1887-05-19,1970-06-22
Ian Parker (psychologist),1956-11-09,None
Raymond L S Patriarca,1908-03-17,1984-07-11
Masena Moke,1980-02-06,None
Annette Schwarz,1984-03-26,None
Andres Põder,1949-11-22,1949-11-22
Nancy Rothwell,1955-10-02,None
Marcos,1986-01-16,None
Bryan Ruiz,1985-08-18,None
Ildar Amirov,1987-10-09,None
Vladimir Verevkin,1987-05-08,None
Jan Pieńkowski,1936-08-08,None
Philip Blommaert,1809-08-24,1871-08-14
Art Mahan,1913-06-08,2010-12-07
Jaan Kiivit Jr,1940-02-19,2005-08-31
Luciano,1980-03-16,None
Erik Grønseth,1925-09-13,2005-10-08
Sibi Sathyaraj,1983-10-06,None
Stephen Gendin,1966-02-20,2000-07-19
Michael Beasley,1989-01-09,None
Peter Van de Veire,1971-12-01,None
María Luisa Josefa,1866-06-21,1937-02-11
Vadim Kharchenko,1985-05-28,None
The Lord Hodson,1895-09-17,1984-03-11
Alexandre Adler,1950-09-23,None
Vyacheslav Amin,1976-12-10,None
Norhafiz Zamani Misbah,1981-07-15,None
Klas Åhlund,1972-04-11,None
Toshihito Ito,1962-02-16,2002-05-24
Marianne Curley,1959-05-20,None
Mohammad Hardi Jaafar,1979-05-30,None
Werner Abrolat,1924-08-15,1997-08-24
Ronny Harun,1984-01-19,None
John Gorrie (director),1932-08-11,None
Bennett H Young,1843-05-25,None
Isaac Griffin,1756-02-27,1827-10-12
Andrés Chitiva,1979-08-13,None
John Tod,1779-11-09,1830-03-27
Mariano Chico,1796-11-09,1850-11-09
Richard Offiong,1983-12-17,None
Pat Friday,1921-08-04,2016-06-21
Kuno Pajula,1924-03-11,2012-11-26
Daniel Vaillant,1949-07-19,None
Pedro López Lagar,1899-06-18,1977-08-21
Abu Mikhnaf,0709-11-09,None
Thomas M Wright,1983-06-22,None
Kenji Terada,1952-07-11,None
Boris de Greiff,1930-02-13,2011-10-31
Dennis M. O'Brien,1952-06-22,None
Charles Capps,1934-01-04,2014-02-23
Paul Quilès,1942-01-27,None
Karen Bass,1953-10-03,None
Sir Peter Yarranton,1924-09-30,2003-06-01
Gary Hailes,1965-11-04,None
Mike Stowell,1965-04-19,None
Marcus McCauley,1983-09-03,None
Bob Pacheco,1934-06-10,None
Alexander Tom Cussons,1875-07-14,1951-08-20
Bunzaburō Kawagishi,1882-01-01,1957-06-16
Jacksonville Dolphins football Jacksonville Dolphins,1965-06-15,None
James Allison Jr,1772-10-04,1854-06-17
Charles Venn,1973-06-24,None
Jill Marie Landis,1948-11-08,None
Arthur Tiley,1910-01-17,1994-06-05
August Föppl,1854-01-25,1924-10-12
Lieutenant General Tani Hisao,1882-12-22,1947-04-26
Lucy R Lippard,1937-04-14,None
Morari Bapu,1946-09-25,None
Sarah Holcomb,1958-09-11,None
The Earl of Westmorland,1602-01-24,1666-02-12
Dan Mihalache,1971-05-18,None
Ioan Mircea Pașcu,1949-02-17,None
Andrés Laguna,1499-11-09,1559-11-09
David Berger,1950-03-30,None
Arenda Grimberg,1978-03-10,None
Quique Wolff,1949-02-21,None
Kay Kay Menon,1966-10-02,None
Angus Maddison,1926-12-06,2010-04-24
Jay Orpin,1976-04-29,None
Sanne Cant,1990-10-08,None
Elsa Einstein,1876-01-18,1936-12-20
Dave Rooney,1937-08-13,2006-11-09
Rachel Leskovac,1976-06-05,None
Robert Harris,1768-09-05,1851-09-03
Adrian Severin,1954-03-28,None
Joseph Rowntree,1836-05-24,1925-02-24
Ken Tucker,1925-10-02,2008-05-19
Tommy Briercliffe,1874-11-09,None
Maryline Salvetat,1974-02-12,None
Arthur Malet,1927-09-24,2013-05-18
Mick Softley,1939-09-26,2017-09-01
Helen Wyman,1981-03-04,None
Urbano Cairo,1957-05-21,None
Carlos Babington,1949-09-20,None
Ovidiu Ioan Silaghi,1962-12-12,None
Gerasimus of Kefalonia,1509-11-09,1579-08-15
Adina-Ioana Vălean,1968-02-16,None
Vytautas Barkaukas,1931-03-25,2020-04-25
Walter C. Carter,1929-04-08,2002-01-20
Ben Cunningham,1981-11-22,None
Dickie Henderson,1922-10-30,1985-09-22
Radomír Šimůnek Jr,1983-09-06,None
Aldo Poy,1945-09-14,None
Eliyahu Golomb,1893-03-02,1945-06-11
Ambrose Peddle,1927-10-08,2014-03-10
Walter S. Schuyler,1850-04-26,1932-02-17
V Thirumurugan,1983-01-09,None
Chen Shubao陳叔寶,0553-12-10,0604-12-16
Walter Knox,1880-11-09,1951-03-03
Robert Douglas,1611-03-17,1662-05-28
John Alexander Buchanan,1887-03-04,1976-05-09
Veronika,1984-01-14,None
Barry Serafin,1941-06-22,None
Andrew Fensome,1969-02-18,None
Geraint Davies (rugby league),1986-03-07,None
Radka Kovaříková,1975-02-26,None
René Novotný,1963-06-10,None
Jennifer Nicks,1932-04-13,1980-08-21
Daniel Burlington Smith,1792-07-14,1883-03-09
Don Naylor,1910-05-31,1991-11-05
Eunice Cho,1991-12-15,None
David Sypolt,1964-09-28,None
Mike Villines,1967-03-30,None
David Gardiner,1784-05-29,1844-02-28
Marcinho,1981-03-20,None
Lindsay Bernard Hall,1859-12-28,1935-02-14
Sharon Runner,1954-05-17,2016-07-14
Mauno Jokipii,1924-08-21,2007-01-02
Nedzhmi Ali,1972-07-16,None
Georgi Bliznashki,1956-10-04,None
Filiz Hyusmenova,1966-06-10,None
Kristian Vigenin,1975-06-12,None
Ichikawa Danjūro I初代市川団十郎,1660-11-09,1704-03-24
Damir Stojak,1975-05-22,None
Eric Wagner,1959-04-24,None
Johannes Matthias Sperger,1750-03-23,1812-05-13
Cleopatra Coleman,1987-10-29,None
Vaithilingam Sornalingam,1949-09-09,2001-09-26
Lyubov Tolkalina,1978-02-16,None
Kathryn Thomas,1979-01-20,None
Bruce Greer,1961-10-02,None
David Hoflin,1979-02-25,None
John Crenshaw,1797-11-19,1871-12-04
John F Driggs,1813-03-08,1877-12-17
Matthew J. Ryan,1932-04-27,None
Cecil R. King,1898-01-13,1974-03-17
Travis Edmonds,1971-02-09,None
Scott Edwards,1968-08-23,None
Anthony Jones,1974-12-19,None
Bob O'Donnell,1943-09-25,None
Quenton Leach,1972-08-20,2020-04-07
John Armstrong,1987-06-25,None
Joe Pernice,1967-07-17,None
Paul Maher,1976-06-11,None
Jamie Merillo,1972-11-27,None
Neil Mildenhall,1968-09-08,None
Peter Miller,1969-04-06,None
Daniel Parker,1974-05-25,None
Andrew Shipp,1979-07-10,None
Bill Dotzler Jr,1948-05-07,None
Garth Taylor,1980-07-10,None
Dion Woods,1982-01-25,None
Vyacheslav Butusov small Вячеслав Бутусов,1961-10-15,None
Roger Tabor Stewart,1931-10-04,None
Mercedes Fontecilla,1799-06-18,1853-05-05
Raheem Orr,1986-08-21,None
James J Manderino,1932-05-06,1989-12-26
Robert E Dvorsky,1948-08-18,None
Brendon Feddema,1974-05-14,None
H Jack Seltzer,1922-08-12,2011-02-28
David Muir,1971-07-17,None
Wally E Horn,1933-11-28,None
Luke Toia,1977-11-23,None
Keren Ugle,1979-07-07,None
Leigh Wardell Johnson,1970-03-17,None
Martin Whitelaw,1976-05-22,None
Herbert Fineman,1920-07-04,2016-08-18
Derren Witcombe,1978-10-30,None
Pinky Whitney,1905-01-03,1987-09-01
Dylan McFarland,1980-07-11,None
Richard Mock,1944-11-09,2006-07-28
Toñito,1977-02-24,None
Delbert Cowsette,1977-09-03,None
Kenneth B Lee,1922-01-23,2010-12-23
Dennis H Black,1939-12-18,None
Bhoj Raj,1495-11-09,1530-11-09
Vasthy Mompoint,1980-09-07,None
Bill Norman,1873-11-09,1931-09-16
Ryon Bingham,1981-06-06,None
Daryl Beall,1946-12-11,None
Mohd Fadzli Saari,1983-01-01,None
Robert Verbeek,1961-07-26,None
Ron Wieck,1944-08-13,None
Takis Lemonis,1960-01-13,None
Dr Rahi Masoom Reza,1927-08-01,1992-03-15
Kaironnisam Sahabudin,1979-05-10,None
Anwar Stewart,1976-02-09,None
Mariana de Aguirre,1775-11-09,None
Morven Christie,1981-09-01,None
Nancy Jane Boettger,1943-05-01,None
Gordon Hunt,1929-04-26,2016-12-17
Radu Lupu,1945-11-30,None
Reggie Harding,1942-05-04,1972-09-02
Azi Shahril Azmi,1985-09-20,None
Darren Webster,1968-06-10,None
Imran Mohamed,1980-12-18,None
Tas Pappas,1975-02-09,None
Terry Jenkins,1963-09-26,None
Yuri Zhirkov,1983-08-20,None
Colin Osborne,1975-06-19,None
Malcolm Rogers,1948-10-03,None
Alan Tabern,1966-09-29,None
Kirill Kochubei,1986-10-06,None
Jack Hatch,1950-03-13,None
Teruyuki Okazaki,1931-06-22,2020-04-21
Nikos Kourkoulos,1934-12-05,2007-01-30
Tony Horton (baseball),1944-12-06,None
Joseph B. Noil,1841-11-09,None
Henry S Whitehead,1882-03-05,1932-11-23
Vladimir Gabulov,1983-10-19,None
Joe Seng,1946-09-27,2016-09-16
Eldred G Smith,1907-01-09,2013-04-04
Anton Grigoryev,1985-12-13,None
Thomas Neir,2020-09-02,None
Ray Charnley,1935-05-29,2009-11-15
Keith A Kreiman,1954-06-28,None
Hubert M Houser,1942-10-09,None
Dmitri Khomich,1984-10-04,None
Calvin Tiggle,1968-11-10,None
Jon Bass,1976-07-01,None
Jesse S Miller,1940-11-09,2006-03-29
Billy McCaffrey,1971-05-30,None
Luo Changpei,1899-08-09,1958-12-13
Satish Chandra Samanta,1900-12-15,1983-06-04
Banwari Lal Joshi,1936-03-27,2017-12-22
Nikita Bazhenov,1985-02-01,None
Jeremy Ferdman,1986-11-10,None
Wes Whitead,1933-04-15,None
Kazuo Hirotsu,1891-12-05,1968-09-21
Roger Wendt,1933-12-31,2011-03-30
Chuck Soderberg,1957-05-24,None
Aleksei Rebko,1986-04-23,None
James Eatock,1977-08-21,None
Wesley Autrey,1956-02-06,None
Maurice K Temerlin,1924-01-15,1988-01-15
Kirsten Olson,1991-10-20,None
Thomas Allier,1975-03-24,None
Eduardo Acevedo,1959-09-25,None
Dwayne Alons,1946-10-30,2014-11-29
Nelson Gutiérrez,1962-04-13,None
Nicke Lignell,1966-06-24,None
Aleksei Zuev,1981-02-03,None
Mike McClennan,1944-01-26,None
Lorenzo Bromell,1975-09-23,None
María Errázuriz Echaurren,1861-11-09,1922-05-01
Jasmin Handanović,1978-01-28,None
Louisa So,1968-01-16,None
Dmitri Borodin,1977-10-08,None
Denis Kolodin,1982-01-11,None
Kel Coslett,1942-01-24,None
Alex Hicks,1969-09-04,None
Simon Neil,1979-08-31,None
Diniyar Bilyaletdinov,1985-02-27,None
P Kunhiraman Nair,1905-10-04,1978-05-27
Stanley R. H. Rogers,1887-05-07,1961-01-21
Ivan Taranov,1986-06-22,None
"Mark Colville, 4th Viscount Colville of Culross",1933-07-19,2010-04-08
Ryan Cleary,1966-11-20,None
Ivan Saenko,1983-10-17,None
Anne Keothavong,1983-09-16,None
David Pyatt,1973-09-26,None
František Laurinec,1951-08-19,None
Adam Kardasz,1983-11-01,None
Fred,1986-01-15,None
Eduard,1941-12-03,None
Wayne Ough,1978-11-27,None
Brendan Kingman,1973-05-22,None
Ľuboš Hajdúch,1980-03-06,None
Tom Brice,1981-08-24,None
Charles Eusèbe Casgrain,1800-12-28,1848-02-29
Adrian Burnside,1977-03-15,None
Trent Oeltjen,1983-02-28,None
Peter Petráš,1979-05-07,None
Shooty Babitt,1959-03-09,None
Estanislao Shilinsky,1911-08-10,1985-09-27
Peter Šinglár,1979-07-24,None
Smbat Lputian,1958-02-14,None
Ajeet Bajaj,1965-09-17,None
Vladimír Janočko,1976-12-02,None
Orlando Mohorović,1950-03-07,None
Richard Harrington,1911-02-24,2005-10-11
Vsevolod Rauzer,1908-10-16,1941-12-29
John Waldron (police officer),1909-11-05,1975-08-24
Jon Grayshon,1983-05-10,None
Filip Hološko,1984-01-17,None
Zdeno Štrba,1976-06-09,None
Ching He Huang,1978-04-08,None
Adam Nemec,1985-09-02,None
Stanislav Šesták,1982-12-16,None
László Bodnár,1979-02-25,None
Assar Gabrielsson,1891-08-13,1962-05-28
Timo Ochs,1981-10-17,None
Horst Wohlers,1949-08-06,None
Patrik Ježek,1976-12-28,None
Stacey Bentley,1956-11-09,None
Karel Piták,1980-01-28,None
Petra Majdič,1979-12-22,None
Christian Tiffert,1982-02-18,None
Josef Obajdin,1970-11-07,None
John Findlay,1766-03-31,1838-11-05
James T. Licavoli,1904-11-24,1985-11-23
Marcella R Frevert,1937-10-26,None
Rémo Meyer,1980-11-12,None
George Farrow,1913-10-04,None
Frank Virgil Dudley,1868-11-14,1957-03-05
Frank Wortman,1904-12-04,1968-08-03
Dick Adams (baseball),1920-04-08,2016-09-14
Melitón Hernández,1982-10-15,None
Joe Keith,1978-10-01,None
Declan O'Loan,1951-08-05,None
Dolores M Mertz,1928-05-30,None
Thomas Burns (politician),1960-08-29,None
Willard E Pugh,1959-06-16,None
Sampsa Timoska,1979-02-12,None
Henry Rayhons,1936-08-05,None
Ric Sanders,1952-12-08,None
Ben Greenwood,1984-07-30,None
Michael Perham,1992-03-16,None
Aleksey Negmatov,1986-01-04,None
Ibrahim Rabimov,1987-08-03,None
George G Leiper,1786-02-03,1868-11-18
Tatsuko Hoshino,1903-11-15,1984-03-03
Odil Irgashev,1977-02-10,None
Paul Musselwhite,1968-12-22,None
H O Arnold Forster,1855-08-19,1909-03-12
Ian Siegal,1971-02-04,None
Ali Tajvidi lang fa علی تجويدی,1919-11-07,2006-03-15
Jacob Krebs,1782-03-13,1847-09-26
John Burnside,1916-11-02,2008-09-14
Harold Kosoff,1930-11-05,1995-03-12
Mohammad Momen,1938-01-13,2019-02-21
David F Levi,1951-08-29,None
Sérgio Cabral Filho,1963-01-27,None
David Soares,1969-10-26,None
İlhan Usmanbaş,1921-09-28,None
Mike Adams (outfielder),1948-07-24,None
Maria Doolaeghe,1803-10-25,1884-04-07
Cheng Yi (philosopher),1033-11-09,1107-11-09
Natasha Mealey,1982-11-27,None
Phil Méheux,1941-09-17,None
Alexander Ogston,1844-04-19,None
Keith Watson,1989-11-14,None
Alan Rogers,1977-01-03,None
Maurice Hartt,1895-04-15,1950-03-15
Sha ri Pendleton,1963-12-05,None
Phoebe Jane Conn,1941-11-09,None
Peter McCloy,1946-11-16,None
Charlotte Ander,1902-08-14,1969-08-05
Louis Cohen,1904-01-01,1939-01-28
Jean Decety,1960-11-09,None
Rob Erdle,1949-08-17,2006-12-30
Andy Edwards,1971-09-17,None
Heath Slater,1983-07-15,None
Christian Camargo,1971-07-07,None
Denton Edward Rebok,1897-01-01,1983-01-01
Safire,1966-01-16,None
Niall Quinn,1988-08-22,None
Miroslav Lazanski,1950-09-18,None
Wayne Radford,1956-05-29,None
Chris Melling,1984-09-21,None
John M Hyneman,1771-04-25,1816-04-16
James A. Abrahamson,1933-05-19,None
Joseph Lafever,1760-04-03,1826-10-17
Violet Webb,1915-02-03,1999-05-27
John Gloninger,1758-09-19,1836-01-22
Jeff Kellogg,1961-08-29,None
Edward Crouch,1764-11-09,1827-02-02
Robert Petrov,1978-06-02,None
Amos Slaymaker,1755-03-11,1837-06-12
Miguel Angel Brindisi,1950-10-08,None
Nikolai Glushkov,1949-12-24,2018-03-12
Joaquín Serrano,1919-08-19,2010-09-07
Alec Puro,1975-04-25,None
Vicki Lewis Thompson,1950-10-11,None
Leo Troy,1894-10-29,1965-06-26
Ken Boyd,1952-03-25,None
James Garvin,1950-02-05,None
Alexey Kuzmichev,1962-10-15,None
Frederik Ndoci,1960-02-09,None
Jacques van Ypersele de Strihou,1936-12-05,None
Anthony Marlowe,1904-10-25,1965-09-08
Cleo Rocos,1962-07-24,None
Anthony Alridge,1984-11-24,None
Isaac Wayne,1772-11-09,1852-10-25
Harriet O'Neill,1957-04-20,None
Ana Maria Canseco,1967-09-05,None
Paddy Fagan,1930-06-07,2014-11-19
Philip Beachy,1958-10-25,None
Chetes,1979-09-19,None
Stan Statham,1939-04-07,2020-08-01
Stanley Hartt,1937-11-11,2018-01-03
Steven Bates,1980-01-16,None
"Frank Bowles, Baron Bowles",1902-05-02,1970-12-29
Carlo Wolff,1943-07-22,None
Ellen Cohen,1940-11-09,None
Fragiskos Alvertis,1974-06-11,None
Marcelo Déda,1960-03-11,2013-12-02
Stefan Ślopek,1914-12-01,1995-08-22
Marie Fikáčková,1936-09-09,1961-04-13
Rogelia Cruz,1940-08-31,1968-01-11
Ed Hooper,1964-03-10,None
Peter McKeefry,1899-07-03,1973-11-18
Ivan Radenović,1984-06-10,None
Anthony Starke,1963-06-06,None
Robert A Brady,1901-05-13,1963-06-14
Paul Sand,1932-03-05,None
Sebastiano Nela,1961-03-13,None
Charles Eusèbe Casgrain,1825-08-03,1907-03-08
Akin Akingbala,1983-03-25,None
Niall Mackenzie,1961-07-19,None
Ajdin Maksumić,1985-07-24,None
Anita Björk,1923-04-25,2012-10-24
Prince Waldemar,1889-03-20,1945-05-02
Ángel Bargas,1946-10-29,None
Sean Tufts,1982-03-26,None
Franc Joubin,1911-11-15,1997-01-01
Michael Blair,1974-11-26,None
Anna Sten,1908-12-03,1993-11-12
Josh Sewell,1981-07-26,None
Bernie LaBarge,1953-03-11,None
Dave Rubinstein,1964-09-05,1993-07-03
Michael David Fitzpatrick,1973-09-26,None
Yi Ui Bang이의방,1121-11-09,1175-11-09
May Claerhout,1939-02-21,2016-11-07
Terry McGroom,1966-03-16,2016-04-17
Waldemar de Brito,1913-05-17,1979-02-21
Evandro Soldati,1985-04-17,None
Sam Tanenhaus,1955-10-31,None
Chan Nak,1892-05-27,1954-11-07
David Allen (American football),1978-02-09,None
Ami James,1972-04-08,None
Josh Harris (quarterback),1982-09-09,None
Milton M. Holland,1844-08-01,1910-05-15
Hattie Morahan,1978-10-07,None
Filipe Teixeira,1980-10-02,None
Lorenzo Olarte Cullen,1932-12-08,None
Etric Pruitt,1981-08-16,None
Chris Nuñez,1973-04-11,None
Deandre Eiland,1982-06-04,None
Prentice Moreland,1925-03-04,1988-09-09
Anthony M. Young,1943-11-09,None
Christopher G Donovan,1953-10-22,None
Johannes Ludovicus Paquay,1828-11-17,1905-01-01
Anthony Thompson,1981-08-17,None
Robert K Hamilton,1905-09-03,1986-11-10
Carl Taylor (baseball),1944-01-20,None
